sender_balance_change,receiver_balance_change,sender_balance_change_abs,receiver_balance_change_abs,sender_balance_change_ratio,receiver_balance_change_ratio,amount_ratio_sender_balance,amount_ratio_receiver_balance,sender_depletes_account,receiver_had_zero_balance,is_high_value_transaction,current_to_savings_transfer,cashout_with_unusual_login,high_fraud_branch_high_amount,flagged_and_unusual,suspicion_score,risk_exposure_sender,total_money_flow
-0.03164793476199251,0.014267233797554901,0.03164793476199251,0.014267233797554901,-0.1025341425191269,0.022269536103097405,-2.0130420650031007,0.0,0,0,0,0,0,0,0,0,-0.20640554199002545,0.045915168559547415
0.02124495911213431,0.014267233797554901,0.02124495911213431,0.014267233797554901,0.037302862039023124,0.022269536103097405,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.03551219290968921
0.031978479091219314,0.014267233797554901,0.031978479091219314,0.014267233797554901,0.046092305178811875,0.022269536103097405,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.046245712888774215
0.031978479091219314,-0.0630252022901806,0.031978479091219314,0.0630252022901806,0.046092305178811875,-0.11187196701854049,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.09500368138139992
-0.037017465003004735,0.014267233797554901,0.037017465003004735,0.014267233797554901,-0.08230478669524083,0.022269536103097405,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.051284698800559636
-0.014977308942939638,0.014267233797554901,0.014977308942939638,0.014267233797554901,-0.039709071657949215,0.022269536103097405,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.02924454274049454
-0.01619022746546378,0.014267233797554901,0.01619022746546378,0.014267233797554901,-0.041977988143148987,0.022269536103097405,-1.684187465842899,0.0,0,0,0,0,0,0,0,0,-0.07069880147199335,0.03045746126301868
-0.02031032679767253,0.014267233797554901,0.02031032679767253,0.014267233797554901,-0.059082901074026556,0.022269536103097405,-1.8669298176122118,0.0,0,0,0,0,0,0,0,0,-0.11030362972613275,0.03457756059522743
0.01729165216211337,0.014267233797554901,0.01729165216211337,0.014267233797554901,0.025462401493800947,0.022269536103097405,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.03155888595966827
0.006710058784275552,0.5953816507297053,0.006710058784275552,0.5953816507297053,0.01003712894113155,0.9905059455383816,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.6020917095139808
0.014027623429357927,0.014267233797554901,0.014027623429357927,0.014267233797554901,0.02450900687169568,0.022269536103097405,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.02829485722691283
0.017837799362997675,0.014267233797554901,0.017837799362997675,0.014267233797554901,0.026825564241591767,0.022269536103097405,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.032105033160552576
-0.026686252088253704,0.014267233797554901,0.026686252088253704,0.014267233797554901,-0.042017163293259836,0.022269536103097405,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.040953485885808605
-0.0030537685046152507,0.014267233797554901,0.0030537685046152507,0.014267233797554901,-0.0016509315760519783,0.022269536103097405,-0.3679736206132405,0.0,0,0,0,0,0,0,0,0,-0.0006074992694245698,0.017321002302170152
-0.0573457405932708,0.1981079202649414,0.0573457405932708,0.1981079202649414,-0.09486978312006569,0.31844323339130065,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.2554536608582122
